timestamp	light	rgb	motion	temp	press
2019-03-29T12:20:24.217703	410.000000	85,95,76	0.02911376953125,-0.02972412109375,1.0413818359375	34.821392	83240.221226
2019-03-29T12:20:25.231116	410.000000	85,95,76	0.0223388671875,-0.0328369140625,1.04278564453125	34.820161	83240.057186
2019-03-29T12:20:26.252256	410.000000	85,95,76	0.023193359375,-0.03106689453125,1.040771484375	34.816161	83239.849887
2019-03-29T12:20:27.265627	410.000000	85,95,76	0.02239990234375,-0.02777099609375,1.0374755859375	34.810621	83239.763362
2019-03-29T12:20:28.286729	410.000000	85,95,76	0.025146484375,-0.02911376953125,1.0438232421875	34.802928	83240.041400
2019-03-29T12:20:29.300115	409.000000	85,95,76	0.01898193359375,-0.02667236328125,1.04217529296875	34.793080	83240.195243
2019-03-29T12:20:30.321192	405.000000	85,95,76	0.02490234375,-0.02923583984375,1.0394287109375	34.783848	83240.268165
2019-03-29T12:20:31.334578	410.000000	85,95,77	0.022216796875,-0.02764892578125,1.0435791015625	34.779232	83240.467519
2019-03-29T12:20:32.355725	410.000000	85,95,77	0.02227783203125,-0.028564453125,1.041748046875	34.772154	83240.338766
2019-03-29T12:20:33.369088	410.000000	85,95,76	0.02789306640625,-0.03314208984375,1.0257568359375	34.762307	83240.329592
2019-03-29T12:20:34.390236	410.000000	85,95,76	0.01861572265625,-0.02801513671875,1.04046630859375	34.751228	83240.319231
2019-03-29T12:20:35.403611	410.000000	85,95,76	0.0189208984375,-0.0296630859375,1.0185546875	34.737688	83240.143617
2019-03-29T12:20:36.424656	410.000000	85,95,76	0.024169921875,-0.02886962890625,1.04461669921875	34.722301	83240.047646
2019-03-29T12:20:37.437479	410.000000	85,95,76	0.025390625,-0.03057861328125,1.044921875	34.708453	83239.993784
2019-03-29T12:20:38.458618	410.000000	85,95,76	0.02093505859375,-0.029541015625,1.04180908203125	34.698298	83239.780501
2019-03-29T12:20:39.479750	410.000000	85,95,76	0.02374267578125,-0.0302734375,1.03265380859375	34.695528	83240.062903
2019-03-29T12:20:40.500876	410.000000	85,95,77	0.02545166015625,-0.026123046875,1.0169677734375	34.696144	83239.982049
2019-03-29T12:20:41.522037	410.000000	85,95,77	0.0247802734375,-0.03106689453125,1.0299072265625	34.698605	83240.147284
2019-03-29T12:20:42.543142	412.000000	85,95,76	0.0233154296875,-0.0333251953125,1.0418701171875	34.702298	83239.825037
2019-03-29T12:20:43.556492	411.000000	85,95,76	0.02447509765625,-0.0308837890625,1.03924560546875	34.706607	83239.584810
2019-03-29T12:20:44.577620	411.000000	85,95,76	0.01953125,-0.0277099609375,1.0421142578125	34.709992	83239.710194
2019-03-29T12:20:45.591005	409.000000	85,95,76	0.02447509765625,-0.03125,1.03985595703125	34.713992	83239.428938
2019-03-29T12:20:46.612152	409.000000	85,95,76	0.023193359375,-0.02752685546875,1.041748046875	34.719224	83239.474617
2019-03-29T12:20:47.625541	409.000000	85,95,76	0.02154541015625,-0.02734375,1.0386962890625	34.725994	83239.236682
2019-03-29T12:20:48.646718	410.000000	85,95,76	0.020751953125,-0.03131103515625,1.04046630859375	34.732149	83238.916699
2019-03-29T12:20:49.668235	409.000000	85,95,76	0.022705078125,-0.028564453125,1.04248046875	34.736457	83239.165093
2019-03-29T12:20:50.689384	409.000000	85,95,76	0.01904296875,-0.02813720703125,1.042236328125	34.738919	83239.167407
2019-03-29T12:20:51.710540	409.000000	85,95,76	0.02752685546875,-0.03228759765625,1.0416259765625	34.740150	83239.494353
2019-03-29T12:20:52.731691	409.000000	85,95,76	0.02252197265625,-0.027099609375,1.04217529296875	34.740765	83239.576379
2019-03-29T12:20:53.752837	405.000000	85,95,76	0.02105712890625,-0.03033447265625,1.0430908203125	34.741073	83239.617392
2019-03-29T12:20:54.773985	411.000000	85,95,76	0.0255126953125,-0.0291748046875,1.04022216796875	34.741689	83239.536522
2019-03-29T12:20:55.795106	409.000000	85,95,76	0.02166748046875,-0.028076171875,1.0579833984375	34.742612	83239.659561
2019-03-29T12:20:56.816204	400.000000	85,95,77	0.01971435546875,-0.030517578125,1.04248046875	34.745381	83239.539988
2019-03-29T12:20:57.837318	401.000000	85,95,76	0.01318359375,-0.02740478515625,1.04656982421875	34.749997	83239.666487
2019-03-29T12:20:58.858468	402.000000	85,95,77	0.0147705078125,-0.02874755859375,1.05010986328125	34.755229	83239.712106
2019-03-29T12:20:59.879552	405.000000	85,95,76	0.02197265625,-0.032470703125,1.04132080078125	34.761076	83239.676841
2019-03-29T12:21:00.892933	405.000000	85,95,76	0.02374267578125,-0.02935791015625,1.0345458984375	34.766923	83239.804465
2019-03-29T12:21:01.914045	411.000000	85,95,76	0.02056884765625,-0.0255126953125,1.029541015625	34.772154	83239.687153
2019-03-29T12:21:02.935214	401.000000	85,95,76	0.029296875,-0.0316162109375,1.05706787109375	34.776463	83239.446795
2019-03-29T12:21:03.956320	403.000000	85,95,77	0.01861572265625,-0.02850341796875,1.05419921875	34.780156	83239.287311
2019-03-29T12:21:04.977458	411.000000	85,95,76	0.02398681640625,-0.0279541015625,1.04168701171875	34.780463	83239.002511
2019-03-29T12:21:05.998599	411.000000	85,95,76	0.01953125,-0.02923583984375,1.03167724609375	34.774924	83239.078834
2019-03-29T12:21:07.019744	411.000000	85,95,76	0.0223388671875,-0.03204345703125,1.04522705078125	34.768462	83239.357915
2019-03-29T12:21:08.040894	413.000000	85,95,77	0.0235595703125,-0.0302734375,1.04254150390625	34.763230	83239.312322
2019-03-29T12:21:09.062041	412.000000	85,95,76	0.0250244140625,-0.03240966796875,1.04339599609375	34.760460	83239.431916
2019-03-29T12:21:10.083205	407.000000	85,95,77	0.02154541015625,-0.02655029296875,1.041748046875	34.758614	83239.511644
2019-03-29T12:21:11.104300	412.000000	85,95,76	0.02392578125,-0.02838134765625,1.042236328125	34.755537	83239.264421
2019-03-29T12:21:12.125434	411.000000	85,95,76	0.0262451171875,-0.03173828125,1.042724609375	34.752152	83239.464881
2019-03-29T12:21:13.146554	412.000000	85,95,76	0.02099609375,-0.029541015625,1.04095458984375	34.749997	83239.177794
2019-03-29T12:21:14.167734	412.000000	85,95,76	0.023681640625,-0.02789306640625,1.04315185546875	34.749690	83238.973884
2019-03-29T12:21:15.188929	412.000000	85,95,76	0.02374267578125,-0.02935791015625,1.0240478515625	34.751844	83238.935174
2019-03-29T12:21:16.210083	412.000000	85,95,76	0.021240234375,-0.027587890625,1.047607421875	34.753382	83238.814438
2019-03-29T12:21:17.231236	412.000000	85,95,76	0.019775390625,-0.02960205078125,1.04150390625	34.751844	83238.772276
2019-03-29T12:21:18.252447	412.000000	85,95,76	0.01324462890625,-0.03094482421875,1.0552978515625	34.748459	83238.646938
2019-03-29T12:21:19.273596	412.000000	85,95,76	0.01544189453125,-0.02935791015625,1.04827880859375	34.744458	83238.765365
2019-03-29T12:21:20.294732	413.000000	85,95,76	0.02056884765625,-0.02587890625,1.0523681640625	34.742304	83238.804070
2019-03-29T12:21:21.316004	413.000000	85,95,76	0.01953125,-0.03448486328125,1.044189453125	34.743227	83238.601316
2019-03-29T12:21:22.337141	412.000000	85,95,76	0.02093505859375,-0.02862548828125,1.04388427734375	34.745074	83238.521597
2019-03-29T12:21:23.358265	412.000000	85,95,76	0.02337646484375,-0.0269775390625,1.04156494140625	34.745997	83238.481737
2019-03-29T12:21:24.379383	412.000000	85,95,76	0.0240478515625,-0.0296630859375,1.04248046875	34.745381	83238.236817
2019-03-29T12:21:25.400505	412.000000	85,95,76	0.02239990234375,-0.03009033203125,1.04296875	34.744458	83237.625092
2019-03-29T12:21:26.421621	412.000000	85,95,76	0.02313232421875,-0.0299072265625,1.0423583984375	34.743227	83237.461045
2019-03-29T12:21:27.442746	413.000000	85,95,76	0.02239990234375,-0.0301513671875,1.042724609375	34.743227	83237.461045
2019-03-29T12:21:28.463967	412.000000	85,95,76	0.0228271484375,-0.03070068359375,1.0433349609375	34.744458	83237.299300
